"sample_id","biosample","sample_name","sra","organism","collection_date","geographic_location","tissue","collected_by","isolate","isolation_source","lat_long","lat","lon","accession","id"
"SF99-23-8","SAMN30219741","AWJG02G02","SRS14595853","Haliotis rufescens","1999-08-20","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02G02","Crescent City","41.74355833 N 124.20152777 W",41.74355833,-124.20152777,"SAMN30219741","30219741"
"SF09-6-7","SAMN30219740","AWJG02F02","SRS14595938","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG02F02","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219740","30219740"
"ENS 3","SAMN30219739","AWJG02E02","SRS14595937","Haliotis rufescens","2019/2020","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG02E02","Ensenada","31.86674 N 116.59637 W",31.86674,-116.59637,"SAMN30219739","30219739"
"SF07-32-5","SAMN30219738","AWJG02D02","SRS14595936","Haliotis rufescens","2007-08-25","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02D02","San Miguel Isle","34.05266111 N 120.34653611 W",34.05266111,-120.34653611,"SAMN30219738","30219738"
"SF07-25-6","SAMN30219737","AWJG02C02","SRS14595935","Haliotis rufescens","2007-07-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02C02","Farallones Island","37.70085833 N 122.99649166 W",37.70085833,-122.99649166,"SAMN30219737","30219737"
"PL5","SAMN30219736","AWJG02B02","SRS14595934","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG02B02","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219736","30219736"
"SF99-38-8","SAMN30219735","AWJG02A02","SRS14595933","Haliotis rufescens","1999-10-27","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02A02","House Cove","39.36008333 N 123.82366666 W",39.36008333,-123.82366666,"SAMN30219735","30219735"
"SF99-36-7","SAMN30219734","AWJG02H01","SRS14595932","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02H01","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219734","30219734"
"RR2103","SAMN30219733","AWJG02G01","SRS14595931","Haliotis rufescens","2021-05-21","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG02G01","Rogue Reef, Gold Beach","42.2638 N 124.2802 W",42.2638,-124.2802,"SAMN30219733","30219733"
"SF09-6-6","SAMN30219732","AWJG02F01","SRS14595930","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG02F01","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219732","30219732"
"ST6","SAMN30219731","AWJG02E01","SRS14595929","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG02E01","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219731","30219731"
"DCHR006","SAMN30219730","AWJG02D01","SRS14595927","Haliotis rufescens","2021-05-05","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG02D01","Morro Bay, Patton Cove","35.20272 N 120.85028 W",35.20272,-120.85028,"SAMN30219730","30219730"
"SF07-25-5","SAMN30219729","AWJG02C01","SRS14595926","Haliotis rufescens","2007-07-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02C01","Farallones Island","37.70085833 N 122.99649166 W",37.70085833,-122.99649166,"SAMN30219729","30219729"
"SF14-34-6","SAMN30219728","AWJG02B01","SRS14595925","Haliotis rufescens","2014-06-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02B01","Muniz Ranch","38.45571944 N 123.14509722 W",38.45571944,-123.14509722,"SAMN30219728","30219728"
"SF99-38-7","SAMN30219727","AWJG02A01","SRS14595924","Haliotis rufescens","1999-10-27","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG02A01","House Cove","39.36008333 N 123.82366666 W",39.36008333,-123.82366666,"SAMN30219727","30219727"
"PL6","SAMN30219726","AWJG01H12","SRS14595923","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG01H12","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219726","30219726"
"PO2130","SAMN30219725","AWJG01G12","SRS14595922","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG01G12","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219725","30219725"
"SF09-6-5","SAMN30219724","AWJG01F12","SRS14596082","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F12","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219724","30219724"
"ST5","SAMN30219723","AWJG01E12","SRS14596081","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG01E12","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219723","30219723"
"DCHR005","SAMN30219722","AWJG01D12","SRS14596080","Haliotis rufescens","2021-05-05","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG01D12","Morro Bay, Pup Rock","35.21835 N 120.86861 W",35.21835,-120.86861,"SAMN30219722","30219722"
"SF03-19-6","SAMN30219721","AWJG01C12","SRS14596079","Haliotis rufescens","2003-04-30","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01C12","Point Reyes","37.98801666 N 122.96269722 W",37.98801666,-122.96269722,"SAMN30219721","30219721"
"SF14-34-5","SAMN30219720","AWJG01B12","SRS14596077","Haliotis rufescens","2014-06-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B12","Muniz Ranch","38.45571944 N 123.14509722 W",38.45571944,-123.14509722,"SAMN30219720","30219720"
"SF07-3-14","SAMN30219719","AWJG01A12","SRS14596076","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A12","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219719","30219719"
"SF99-38-10","SAMN30219718","AWJG01H11","SRS14596075","Haliotis rufescens","1999-10-27","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01H11","House Cove","39.36008333 N 123.82366666 W",39.36008333,-123.82366666,"SAMN30219718","30219718"
"PO2128","SAMN30219717","AWJG01G11","SRS14596074","Haliotis rufescens","2021-06-17","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG01G11","Port Orford, Nellie's Cove","42.4414 N 124.3025 W",42.4414,-124.3025,"SAMN30219717","30219717"
"SF09-6-4","SAMN30219716","AWJG01F11","SRS14596073","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F11","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219716","30219716"
"SF99-04-3","SAMN30219715","AWJG01E11","SRS14596072","Haliotis rufescens","1999-02-17","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01E11","San Pedro","33.70445 N 118.2946 W",33.70445,-118.2946,"SAMN30219715","30219715"
"H4","SAMN30219714","AWJG01D11","SRS14596071","Haliotis rufescens","2011-02-02","USA:California","epipodial","De Wit/Leary","Haliotis_rufescens_AWJG01D11","Hopkins (Monterey)","36.62073333 N 121.90196666 W",36.62073333,-121.90196666,"SAMN30219714","30219714"
"SF03-19-5","SAMN30219713","AWJG01C11","SRS14596070","Haliotis rufescens","2003-04-30","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01C11","Point Reyes","37.98801666 N 122.96269722 W",37.98801666,-122.96269722,"SAMN30219713","30219713"
"SF07-7-6","SAMN30219712","AWJG01B11","SRS14596069","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B11","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219712","30219712"
"SF07-3-13","SAMN30219711","AWJG01A11","SRS14596068","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A11","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219711","30219711"
"SF99-36-6","SAMN30219710","AWJG01H10","SRS14596066","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01H10","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219710","30219710"
"PL3","SAMN30219709","AWJG01G10","SRS14596065","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG01G10","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219709","30219709"
"SF09-6-2","SAMN30219708","AWJG01F10","SRS14596064","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F10","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219708","30219708"
"SJ 4","SAMN30219707","AWJG01E10","SRS14596063","Haliotis rufescens","2016","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG01E10","Punta San Jose","31.46263611 N 116.59057777 W",31.46263611,-116.59057777,"SAMN30219707","30219707"
"SF07-32-4","SAMN30219706","AWJG01D10","SRS14596062","Haliotis rufescens","2007-08-25","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01D10","San Miguel Isle","34.05266111 N 120.34653611 W",34.05266111,-120.34653611,"SAMN30219706","30219706"
"SF98-32-3","SAMN30219705","AWJG01C10","SRS14596061","Haliotis rufescens","1998-12-17","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01C10","Monterey","36.639425 N 121.93438888 W",36.639425,-121.93438888,"SAMN30219705","30219705"
"SF10-15-4","SAMN30219704","AWJG01B10","SRS14596060","Haliotis rufescens","2010-05-14","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B10","Bodega Bay","38.31356666 N 123.07554722 W",38.31356666,-123.07554722,"SAMN30219704","30219704"
"SF99-36-5","SAMN30219703","AWJG01H09","SRS14596059","Haliotis rufescens","1999-10-22","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01H09","Trinidad","41.05053333 N 124.15049166 W",41.05053333,-124.15049166,"SAMN30219703","30219703"
"RR2102","SAMN30219702","AWJG01G09","SRS14596034","Haliotis rufescens","2021-05-21","USA:Oregon","epipodial","ODFW","Haliotis_rufescens_AWJG01G09","Rogue Reef, Gold Beach","42.2638 N 124.2802 W",42.2638,-124.2802,"SAMN30219702","30219702"
"SF09-6-1","SAMN30219701","AWJG01F09","SRS14596033","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F09","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219701","30219701"
"SJ 3","SAMN30219700","AWJG01E09","SRS14596031","Haliotis rufescens","2016","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG01E09","Punta San Jose","31.46263611 N 116.59057777 W",31.46263611,-116.59057777,"SAMN30219700","30219700"
"SF07-32-3","SAMN30219699","AWJG01D09","SRS14596030","Haliotis rufescens","2007-08-25","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01D09","San Miguel Isle","34.05266111 N 120.34653611 W",34.05266111,-120.34653611,"SAMN30219699","30219699"
"SF07-25-4","SAMN30219698","AWJG01C09","SRS14596029","Haliotis rufescens","2007-07-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01C09","Farallones Island","37.70085833 N 122.99649166 W",37.70085833,-122.99649166,"SAMN30219698","30219698"
"SF10-15-3","SAMN30219697","AWJG01B09","SRS14596028","Haliotis rufescens","2010-05-14","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B09","Bodega Bay","38.31356666 N 123.07554722 W",38.31356666,-123.07554722,"SAMN30219697","30219697"
"SF11-27-6","SAMN30219696","AWJG01A09","SRS14596027","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A09","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219696","30219696"
