"sample_id","biosample","sample_name","sra","organism","collection_date","geographic_location","tissue","collected_by","isolate","isolation_source","lat_long","lat","lon","accession","id"
"SF07-7-1","SAMN30219668","AWJG01A05","SRS14596092","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A05","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219668","30219668"
"SF99-23-5","SAMN30219667","AWJG01H04","SRS14596091","Haliotis rufescens","1999-08-20","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01H04","Crescent City","41.74355833 N 124.20152777 W",41.74355833,-124.20152777,"SAMN30219667","30219667"
"SF09-6-17","SAMN30219666","AWJG01G04","SRS14596083","Haliotis rufescens","2009","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01G04","Port Orford, Nellie's Cove","42.73890555 N 124.50217777 W",42.73890555,-124.50217777,"SAMN30219666","30219666"
"SF09-6-18","SAMN30219665","AWJG01F04","SRS14596000","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F04","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219665","30219665"
"SJ 1","SAMN30219664","AWJG01E04","SRS14595989","Haliotis rufescens","2016","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG01E04","Punta San Jose","31.46263611 N 116.59057777 W",31.46263611,-116.59057777,"SAMN30219664","30219664"
"SF07-32-1","SAMN30219663","AWJG01D04","SRS14595913","Haliotis rufescens","2007-08-25","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01D04","San Miguel Isle","34.05266111 N 120.34653611 W",34.05266111,-120.34653611,"SAMN30219663","30219663"
"SF10-15-1","SAMN30219662","AWJG01B04","SRS14595902","Haliotis rufescens","2010-05-14","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B04","Bodega Bay","38.31356666 N 123.07554722 W",38.31356666,-123.07554722,"SAMN30219662","30219662"
"SF11-27-2","SAMN30219661","AWJG01A04","SRS14596052","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A04","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219661","30219661"
"SF99-23-4","SAMN30219660","AWJG01H03","SRS14596040","Haliotis rufescens","1999-08-20","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01H03","Crescent City","41.74355833 N 124.20152777 W",41.74355833,-124.20152777,"SAMN30219660","30219660"
"SF09-6-16","SAMN30219659","AWJG01G03","SRS14595981","Haliotis rufescens","2009","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01G03","Port Orford, Nellie's Cove","42.73890555 N 124.50217777 W",42.73890555,-124.50217777,"SAMN30219659","30219659"
"SF09-6-14","SAMN30219658","AWJG01F03","SRS14595970","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F03","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219658","30219658"
"ST2","SAMN30219657","AWJG01E03","SRS14595894","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG01E03","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219657","30219657"
"DCHR002","SAMN30219656","AWJG01D03","SRS14595883","Haliotis rufescens","2021-05-05","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG01D03","Morro Bay, Pup Rock","35.21835 N 120.86861 W",35.21835,-120.86861,"SAMN30219656","30219656"
"SF07-25-1","SAMN30219655","AWJG01C03","SRS14595961","Haliotis rufescens","2007-07-18","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01C03","Farallones Island","37.70085833 N 122.99649166 W",37.70085833,-122.99649166,"SAMN30219655","30219655"
"SF14-34-2","SAMN30219654","AWJG01B03","SRS14595950","Haliotis rufescens","2014-06-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B03","Muniz Ranch","38.45571944 N 123.14509722 W",38.45571944,-123.14509722,"SAMN30219654","30219654"
"SF11-27-1","SAMN30219653","AWJG01A03","SRS14595939","Haliotis rufescens","2011-08-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A03","Salt Point","38.563975 N 123.33383888 W",38.563975,-123.33383888,"SAMN30219653","30219653"
"PL2","SAMN30219652","AWJG01H02","SRS14595863","Haliotis rufescens","2021-05-18","USA:California","epipodial","Ian Taniguchi","Haliotis_rufescens_AWJG01H02","Point Loma","32.67363333 N 117.24614722 W",32.67363333,-117.24614722,"SAMN30219652","30219652"
"SF09-6-15","SAMN30219651","AWJG01G02","SRS14595852","Haliotis rufescens","2009","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01G02","Port Orford, Nellie's Cove","42.73890555 N 124.50217777 W",42.73890555,-124.50217777,"SAMN30219651","30219651"
"SF09-6-13","SAMN30219650","AWJG01F02","SRS14595928","Haliotis rufescens","2008-03-29","USA:Oregon","epipodial","SHL, BML","Haliotis_rufescens_AWJG01F02","Brookings","42.04461111 N 124.28393611 W",42.04461111,-124.28393611,"SAMN30219650","30219650"
"ST1","SAMN30219649","AWJG01E02","SRS14596078","Haliotis rufescens","2014","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG01E02","Santo Tomas","31.54910277 N 116.68323611 W",31.54910277,-116.68323611,"SAMN30219649","30219649"
"DCHR001","SAMN30219648","AWJG01D02","SRS14596067","Haliotis rufescens","2021-05-05","USA:California","epipodial","Andrew Harmer","Haliotis_rufescens_AWJG01D02","Morro Bay, Pup Rock","35.21835 N 120.86861 W",35.21835,-120.86861,"SAMN30219648","30219648"
"SF03-19-2","SAMN30219647","AWJG01C02","SRS14596032","Haliotis rufescens","2003-04-30","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01C02","Point Reyes","37.98801666 N 122.96269722 W",37.98801666,-122.96269722,"SAMN30219647","30219647"
"SF14-34-1","SAMN30219646","AWJG01B02","SRS14596021","Haliotis rufescens","2014-06-15","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B02","Muniz Ranch","38.45571944 N 123.14509722 W",38.45571944,-123.14509722,"SAMN30219646","30219646"
"SF07-3-10","SAMN30219645","AWJG01A02","SRS14596106","Haliotis rufescens","2007-02-05","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01A02","VanDamme","39.26975833 N 123.79865833 W",39.26975833,-123.79865833,"SAMN30219645","30219645"
"ENS 1","SAMN30219644","AWJG01F01","SRS14596095","Haliotis rufescens","2019/2020","Mexico:Baja California","epipodial","Fabiola Lafarga","Haliotis_rufescens_AWJG01F01","Ensenada","31.86674 N 116.59637 W",31.86674,-116.59637,"SAMN30219644","30219644"
"SF99-04-1","SAMN30219643","AWJG01E01","SRS14596051","Haliotis rufescens","1999-02-17","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01E01","San Pedro","33.70445 N 118.2946 W",33.70445,-118.2946,"SAMN30219643","30219643"
"SF98-32-2","SAMN30219642","AWJG01D01","SRS14595851","Haliotis rufescens","1998-12-17","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01D01","Monterey","36.639425 N 121.93438888 W",36.639425,-121.93438888,"SAMN30219642","30219642"
"SF07-7-2","SAMN30219641","AWJG01B01","SRS14595850","Haliotis rufescens","2007-08-06","USA:California","epipodial","SHL, BML","Haliotis_rufescens_AWJG01B01","Timber Cove","38.530525 N 123.27260555 W",38.530525,-123.27260555,"SAMN30219641","30219641"
