Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR20994045,WGS,302,21834965722,PRJNA867688,SAMN30219849,Invertebrate,7154514889,UCLA,"SHL\, BML",1998-12-18,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX17010762,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03H05,Shelter Cover,40.02043888 N 124.06986666 W,AWJG03H05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:19:00Z,1,AWJG03H05,SRP390753,epipodial
SRR20994046,WGS,302,24072605730,PRJNA867688,SAMN30219848,Invertebrate,7911553648,UCLA,"SHL\, BML",1999-10-22,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX17010761,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG03G05,Trinidad,41.05053333 N 124.15049166 W,AWJG03G05,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:51:00Z,1,AWJG03G05,SRP390753,epipodial
SRR20994047,WGS,302,25913468776,PRJNA867688,SAMN30219804,Invertebrate,8340291040,UCLA,"SHL\, BML",1999-10-22,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX17010760,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02H11,Trinidad,41.05053333 N 124.15049166 W,AWJG02H11,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:08:00Z,1,AWJG02H11,SRP390753,epipodial
SRR20994048,WGS,302,21142229364,PRJNA867688,SAMN30219803,Invertebrate,6845468747,UCLA,Ian Taniguchi,2021-05-18,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX17010759,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02G11,Point Loma,32.67363333 N 117.24614722 W,AWJG02G11,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:57:00Z,1,AWJG02G11,SRP390753,epipodial
SRR20994049,WGS,302,21823263222,PRJNA867688,SAMN30219802,Invertebrate,7061819439,UCLA,ODFW,2021-05-26,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17010758,USA,North America,USA:Oregon,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02F11,"Brookings\, Lone Ranch",42.0558 N 124.2057 W,AWJG02F11,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:55:00Z,1,AWJG02F11,SRP390753,epipodial
SRR20994051,WGS,302,16861267020,PRJNA867688,SAMN30219801,Invertebrate,5419623586,UCLA,Fabiola Lafarga,2019/2020,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX17010756,Mexico,North America,Mexico:Baja California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02E11,Ensenada,31.86674 N 116.59637 W,AWJG02E11,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T18:33:00Z,1,AWJG02E11,SRP390753,epipodial
SRR20994052,WGS,302,24173969916,PRJNA867688,SAMN30219800,Invertebrate,7535237186,UCLA,"SHL\, BML",2007-07-18,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX17010755,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02C11,Farallones Island,37.70085833 N 122.99649166 W,AWJG02C11,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:53:00Z,1,AWJG02C11,SRP390753,epipodial
SRR20994053,WGS,302,25241420022,PRJNA867688,SAMN30219799,Invertebrate,7916777079,UCLA,"SHL\, BML",2010-05-14,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX17010754,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02B11,Bodega Bay,38.31356666 N 123.07554722 W,AWJG02B11,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:11:00Z,1,AWJG02B11,SRP390753,epipodial
SRR20994054,WGS,302,22292343514,PRJNA867688,SAMN30219798,Invertebrate,6977311089,UCLA,"SHL\, BML",2011-08-15,public,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX17010753,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02A11,Salt Point,38.563975 N 123.33383888 W,AWJG02A11,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T17:10:00Z,1,AWJG02A11,SRP390753,epipodial
SRR20994055,WGS,302,30222044490,PRJNA867688,SAMN30219797,Invertebrate,9525664319,UCLA,"SHL\, BML",1999-10-22,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX17010752,USA,North America,USA:California,Illumina NovaSeq 6000,Haliotis_rufescens_AWJG02H10,Trinidad,41.05053333 N 124.15049166 W,AWJG02H10,PAIRED,RANDOM,GENOMIC,Haliotis rufescens,ILLUMINA,2024-08-06T00:00:00Z,2022-08-09T16:59:00Z,1,AWJG02H10,SRP390753,epipodial
