sample_name,species,isolate,habitat,stage,year,region,sex,tissue,lat,lon,phylum,class,order,family,georef,country,state
MX13-238,Poecilia mexicana,MX13-238,Fresh,adult,2013,Mexico: Tacotalpa  - site Bonita,F,muscle,17.426 N,92.752 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-239,Poecilia mexicana,MX13-239,Fresh,adult,2013,Mexico: Tacotalpa  - site Bonita,F,muscle,17.426 N,92.752 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-241,Poecilia mexicana,MX13-241,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),F,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-243,Poecilia mexicana,MX13-243,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),M,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-245,Poecilia mexicana,MX13-245,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),F,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-247,Poecilia mexicana,MX13-247,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),F,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-248,Poecilia mexicana,MX13-248,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),M,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-249,Poecilia mexicana,MX13-249,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),M,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-251,Poecilia mexicana,MX13-251,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),F,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-255,Poecilia mexicana,MX13-255,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),M,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-256,Poecilia mexicana,MX13-256,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),M,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-262,Poecilia mexicana,MX13-262,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),F,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-264,Poecilia mexicana,MX13-264,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),M,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-265,Poecilia mexicana,MX13-265,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),F,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-266,Poecilia mexicana,MX13-266,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),F,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-267,Poecilia mexicana,MX13-267,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),F,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-268,Poecilia mexicana,MX13-268,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),F,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-270,Poecilia mexicana,MX13-270,Sulfur,adult,2013,Mexico: Ixtapangajoya  - site La Esperanza (big spring),M,muscle,17.511 N,92.98 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Ixtapangajoya
MX13-272,Poecilia mexicana,MX13-272,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,M,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-273,Poecilia mexicana,MX13-273,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-274,Poecilia mexicana,MX13-274,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,M,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-276,Poecilia mexicana,MX13-276,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-279,Poecilia mexicana,MX13-279,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,M,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-280,Poecilia mexicana,MX13-280,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-281,Poecilia mexicana,MX13-281,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-282,Poecilia mexicana,MX13-282,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-284,Poecilia mexicana,MX13-284,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-287,Poecilia mexicana,MX13-287,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-289,Poecilia mexicana,MX13-289,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-291,Poecilia mexicana,MX13-291,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-292,Poecilia mexicana,MX13-292,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-296,Poecilia mexicana,MX13-296,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-298,Poecilia mexicana,MX13-298,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
MX13-300,Poecilia mexicana,MX13-300,Sulfur,adult,2013,Mexico: Tacotalpa  - site El Azufre I fish,F,muscle,17.442 N,92.774 W,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,GPS,Mexico,Tacotalpa
